n_vec,PFS_EA,PFS_COCBA,PFS_Alg1,PFS_Alg2,PFS_Alg3,PFS_Alg4
2.5,0.7193,0.7193,0.7193,0.7193,0.7193,0.7193
7.5,0.594,0.4113,0.359099999999999,0.2802,0.3199,0.3191
12.5,0.54,0.244,0.1427,0.0866,0.118499999999999,0.120299999999999
17.5,0.4764,0.130999999999999,0.0530999999999995,0.0238999999999981,0.0445999999999985,0.0437999999999988
22.5,0.4338,0.0737999999999998,0.0188999999999984,0.00759999999999872,0.0170999999999984,0.0163999999999986
27.5,0.3904,0.0395999999999992,0.00709999999999855,0.00259999999999894,0.00669999999999871,0.00589999999999868
32.5,0.3558,0.0212999999999985,0.00259999999999894,0.000999999999999113,0.00209999999999899,0.00229999999999897
37.5,0.314599999999999,0.0125999999999984,0.000999999999999113,0.000499999999999168,0.00119999999999909,0.000499999999999168
42.5,0.2734,0.00729999999999864,0.000499999999999168,0.000199999999999201,0.000399999999999179,0.000199999999999201
47.5,0.2414,0.00359999999999883,9.99999999992118e-05,-6.66133814775094e-16,-6.66133814775094e-16,-6.66133814775094e-16
52.5,0.210599999999999,0.00149999999999906,9.99999999992118e-05,-6.66133814775094e-16,-6.66133814775094e-16,-6.66133814775094e-16
57.5,0.1836,0.000899999999999124,9.99999999992118e-05,-6.66133814775094e-16,-6.66133814775094e-16,-6.66133814775094e-16
62.5,0.1629,0.00029999999999919,9.99999999992118e-05,-6.66133814775094e-16,-6.66133814775094e-16,-6.66133814775094e-16
67.5,0.1417,0.00029999999999919,-6.66133814775094e-16,-6.66133814775094e-16,-6.66133814775094e-16,-6.66133814775094e-16
72.5,0.123499999999999,0.000199999999999201,-6.66133814775094e-16,-6.66133814775094e-16,-6.66133814775094e-16,-6.66133814775094e-16
77.5,0.107199999999999,-6.66133814775094e-16,-6.66133814775094e-16,-6.66133814775094e-16,-6.66133814775094e-16,-6.66133814775094e-16
