n_vec,FNR_EA,FNR_COCBA,FNR_Alg1,FNR_Alg2,FNR_Alg3,FNR_Alg4
2.5,0.466933333333333,0.466933333333333,0.466933333333333,0.466933333333333,0.466933333333333,0.466933333333333
7.5,0.333722222222222,0.181644444444444,0.189111111111111,0.0962777777777777,0.141111111111111,0.134533333333333
12.5,0.263466666666667,0.108611111111111,0.134777777777778,0.0387,0.0668777777777778,0.0635777777777777
17.5,0.213355555555555,0.0704666666666666,0.116555555555555,0.0204333333333333,0.0356555555555556,0.0332555555555556
22.5,0.1787,0.0490111111111111,0.108433333333333,0.0134888888888889,0.0203888888888889,0.0192111111111111
27.5,0.1522,0.0352444444444445,0.104644444444444,0.0100333333333333,0.0119222222222222,0.0114222222222222
32.5,0.131122222222222,0.0259444444444444,0.1029,0.0082111111111111,0.00746666666666666,0.00696666666666666
37.5,0.112855555555555,0.0196,0.101855555555555,0.0067,0.00441111111111111,0.00438888888888889
42.5,0.0974333333333332,0.0149888888888889,0.101066666666666,0.0057,0.003,0.00276666666666667
47.5,0.0845222222222221,0.0113666666666667,0.100466666666667,0.00518888888888889,0.00204444444444444,0.00175555555555555
52.5,0.0730333333333333,0.00874444444444444,0.100022222222222,0.0044,0.00131111111111111,0.00106666666666667
57.5,0.0637777777777778,0.00697777777777777,0.0997555555555554,0.00401111111111111,0.000899999999999999,0.0007
62.5,0.0559111111111111,0.00544444444444445,0.0994666666666665,0.00367777777777778,0.0006,0.000533333333333333
67.5,0.0497111111111111,0.00436666666666666,0.0991888888888887,0.00336666666666666,0.000388888888888889,0.000355555555555556
72.5,0.0445666666666667,0.00356666666666667,0.0989666666666665,0.003,0.000255555555555556,0.000244444444444444
77.5,0.0395666666666667,0.00291111111111111,0.0988555555555554,0.00268888888888889,0.000188888888888889,0.000177777777777778
