n_vec,ACC_EA,ACC_COCBA,ACC_Alg1,ACC_Alg2,ACC_Alg3,ACC_Alg4
2.5,0.189268,0.189268,0.189268,0.189268,0.189268,0.189268
12.5,0.133994,0.0954740000000001,0.089106,0.086632,0.086294,0.0930320000000001
22.5,0.10916,0.069024,0.060284,0.052492,0.055098,0.061712
32.5,0.093404,0.051978,0.04373,0.032812,0.03625,0.042188
42.5,0.081452,0.039794,0.033932,0.02133,0.024268,0.029634
52.5,0.072424,0.03115,0.02756,0.014292,0.016354,0.02076
62.5,0.065076,0.024342,0.023884,0.009946,0.010922,0.014684
72.5,0.058436,0.019224,0.021576,0.007338,0.007228,0.010524
82.5,0.053196,0.015044,0.020002,0.005574,0.00478,0.007596
92.5,0.04892,0.01178,0.01918,0.00434,0.003156,0.005466
100,0.045946,0.009872,0.018694,0.003644,0.002306,0.004308
