n_vec,PFS_EA,PFS_COCBA,PFS_Alg1,PFS_Alg2,PFS_Alg3,PFS_Alg4
2.5,0.8566,0.8566,0.8566,0.8566,0.8566,0.8566
7.5,0.7961,0.7063,0.7836,0.6828,0.7252,0.6949
12.5,0.7455,0.6242,0.7066,0.5953,0.6347,0.6055
17.5,0.7136,0.5649,0.6425,0.5091,0.5594,0.5295
22.5,0.6802,0.502,0.5683,0.433299999999999,0.4838,0.462
27.5,0.6516,0.4418,0.4919,0.358899999999999,0.4119,0.3936
32.5,0.6232,0.388299999999999,0.4211,0.2887,0.3407,0.3356
37.5,0.5893,0.336899999999999,0.3532,0.2292,0.2856,0.2849
42.5,0.5607,0.2812,0.2898,0.172999999999999,0.2298,0.2302
47.5,0.5368,0.237999999999999,0.240199999999999,0.1271,0.183999999999999,0.183499999999999
52.5,0.5167,0.196599999999999,0.1888,0.0941999999999998,0.152299999999999,0.1455
57.5,0.4943,0.161399999999999,0.152599999999999,0.0705999999999989,0.1156,0.112599999999999
62.5,0.4791,0.138599999999999,0.118299999999999,0.0479999999999997,0.0924999999999992,0.0875999999999998
67.5,0.4489,0.116,0.0957999999999994,0.0346999999999997,0.0696999999999993,0.0669999999999993
72.5,0.4318,0.0950999999999991,0.0788999999999989,0.0230999999999996,0.0525999999999991,0.0496999999999992
77.5,0.412,0.076799999999999,0.0571999999999993,0.0165999999999994,0.0385999999999995,0.0381999999999997
82.5,0.3911,0.0605999999999992,0.0423999999999993,0.0120999999999993,0.0297999999999995,0.0285999999999995
87.5,0.3807,0.0480000000000002,0.0312999999999997,0.00719999999999987,0.0230999999999999,0.0211999999999997
92.5,0.3587,0.0362999999999996,0.0252999999999999,0.00560000000000016,0.0163999999999995,0.0153999999999993
97.5,0.3475,0.0284999999999994,0.0208999999999996,0.00340000000000007,0.0120999999999997,0.0117999999999995
