n_vec,FNR_EA,FNR_COCBA,FNR_Alg1,FNR_Alg2,FNR_Alg3,FNR_Alg4
2.5,0.524766666666666,0.524766666666666,0.524766666666666,0.524766666666666,0.524766666666666,0.524766666666666
7.5,0.356711111111111,0.170944444444444,0.179233333333333,0.119044444444444,0.131077777777778,0.121066666666667
12.5,0.275266666666666,0.0869999999999999,0.121244444444444,0.0499888888888889,0.0478888888888889,0.0442111111111111
17.5,0.225077777777778,0.0480777777777778,0.105133333333333,0.0284555555555556,0.0174555555555556,0.0161222222222222
22.5,0.184955555555555,0.0274,0.100511111111111,0.0184666666666667,0.00662222222222222,0.00586666666666666
27.5,0.156511111111111,0.0156,0.0984555555555554,0.0128666666666667,0.00234444444444444,0.00184444444444444
32.5,0.132366666666667,0.00902222222222222,0.0971333333333331,0.00948888888888889,0.00091111111111111,0.000633333333333333
37.5,0.113811111111111,0.00522222222222222,0.0961333333333331,0.00691111111111111,0.000388888888888889,0.0002
42.5,0.0979777777777777,0.00302222222222222,0.0953666666666665,0.00521111111111111,0.000166666666666667,0.0001
47.5,0.0854444444444444,0.0018,0.0946777777777777,0.00414444444444444,4.44444444444444e-05,2.22222222222222e-05
