n_vec,zero_EA,zero_COCBA,zero_Alg1,zero_Alg2,zero_Alg3,zero_Alg4
2.5,0.082,0.082,0.082,0.082,0.082,0.082
7.5,0.082,0.0709032666666667,0.07796132,0.1150738,0.104653386666667,0.121310093333333
12.5,0.082,0.060638336,0.054064968,0.09144928,0.107559008,0.130245768
17.5,0.082,0.0559648228571429,0.0388146,0.0752769371428571,0.11340136,0.139304714285714
22.5,0.082,0.0538080755555555,0.0300410177777778,0.0641356488888889,0.117823644444444,0.145314933333333
27.5,0.082,0.0526917236363636,0.0245454290909091,0.0560203709090909,0.120535112727273,0.148869963636364
32.5,0.082,0.0521649753846154,0.0207654184615385,0.0498288461538462,0.122163938461538,0.151189064615385
37.5,0.082,0.05187036,0.017971104,0.044943528,0.123044106666667,0.152420922666667
42.5,0.082,0.0516183294117647,0.0158543788235294,0.0410069717647059,0.123565734117647,0.153280094117647
47.5,0.082,0.0514232842105263,0.0141917410526316,0.0377660673684211,0.123894894736842,0.153704370526316
