n_vec,FNR_EA,FNR_COCBA,FNR_Alg1,FNR_Alg2,FNR_Alg3,FNR_Alg4
2.5,0.698588888888888,0.698588888888888,0.698588888888888,0.698588888888888,0.698588888888888,0.698588888888888
12.5,0.495266666666666,0.351844444444444,0.355777777777778,0.309933333333333,0.332777777777778,0.313688888888889
22.5,0.401766666666667,0.253422222222222,0.2555,0.193266666666667,0.219977777777778,0.202744444444444
32.5,0.343844444444444,0.191133333333333,0.196544444444444,0.125333333333333,0.150677777777778,0.136033333333333
42.5,0.299133333333333,0.146555555555555,0.160777777777778,0.0845777777777777,0.104822222222222,0.093
52.5,0.266744444444444,0.114688888888889,0.136866666666667,0.0581444444444444,0.0734777777777778,0.0636555555555555
62.5,0.239377777777778,0.0892999999999999,0.122644444444444,0.0417,0.0511,0.0432222222222222
72.5,0.214833333333333,0.0707333333333333,0.1138,0.0314444444444444,0.0346333333333333,0.0293888888888889
82.5,0.195155555555555,0.0555444444444445,0.1073,0.0245333333333333,0.0234777777777778,0.0199666666666667
92.5,0.179422222222222,0.0432222222222222,0.103922222222222,0.0194,0.0157888888888889,0.0133666666666667
100,0.1687,0.0363,0.101977777777778,0.0165777777777778,0.0116222222222222,0.00998888888888889
