n_vec,PFS_EA,PFS_COCBA,PFS_Alg1,PFS_Alg2,PFS_Alg3,PFS_Alg4
2.5,0.7332,0.7332,0.7332,0.7332,0.7332,0.7332
7.5,0.6143,0.3647,0.382599999999999,0.2238,0.3177,0.3203
12.5,0.5203,0.183899999999999,0.1635,0.0620999999999996,0.126,0.125499999999999
17.5,0.4297,0.0913999999999993,0.0715999999999992,0.0181999999999999,0.0486999999999996,0.0479999999999997
22.5,0.3568,0.0457,0.0323999999999998,0.00549999999999984,0.0185999999999997,0.0199999999999992
27.5,0.298899999999999,0.0234999999999992,0.0149999999999999,0.00249999999999984,0.0102000000000001,0.00870000000000004
32.5,0.2392,0.0115999999999998,0.00760000000000016,0.00119999999999987,0.00430000000000008,0.00360000000000016
37.5,0.197799999999999,0.00649999999999962,0.00370000000000004,0.000599999999999934,0.00119999999999987,0.00239999999999996
42.5,0.1575,0.00339999999999985,0.00199999999999978,0.000199999999999867,0.000599999999999934,0.00109999999999999
47.5,0.126799999999999,0.00169999999999992,0.000800000000000023,0.000199999999999867,0.000199999999999867,0.000499999999999945
52.5,0.0997999999999989,0.000800000000000023,0.000499999999999834,-2.22044604925031e-16,0.000299999999999856,0.000399999999999956
57.5,0.0774999999999992,0.000699999999999923,-2.22044604925031e-16,-2.22044604925031e-16,9.9999999999878e-05,9.9999999999878e-05
62.5,0.0617999999999992,0.000199999999999978,9.9999999999878e-05,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16
67.5,0.0485999999999994,9.9999999999878e-05,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16
72.5,0.0382999999999997,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16
77.5,0.0287999999999999,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16
