n_vec,zero_EA,zero_COCBA,zero_Alg1,zero_Alg2,zero_Alg3,zero_Alg4
2.5,0.082,0.082,0.082,0.082,0.082,0.082
7.5,0.082,0.0880870133333333,0.109477986666667,0.16147776,0.123121,0.1441978
12.5,0.082,0.084590016,0.10805856,0.158539224,0.125247896,0.156364904
17.5,0.082,0.0812164457142857,0.103471165714286,0.150194891428571,0.122882354285714,0.157758988571429
22.5,0.082,0.07764992,0.0972548444444444,0.139896857777778,0.120456893333333,0.156282542222222
27.5,0.082,0.0740416,0.0905635418181818,0.130882185454545,0.118579036363636,0.154822167272727
32.5,0.082,0.0710437876923077,0.0842805846153846,0.122389987692308,0.116250806153846,0.151883461538461
37.5,0.082,0.0684994453333334,0.078350872,0.114355576,0.115780861333333,0.151251085333333
42.5,0.082,0.0656590352941176,0.071775094117647,0.107484934117647,0.114252649411765,0.149270508235294
47.5,0.082,0.0637272757894737,0.0665010715789473,0.100847014736842,0.11392528,0.147738981052632
52.5,0.082,0.0619694076190476,0.0614852780952381,0.0950601580952381,0.114314388571429,0.147871533333333
57.5,0.082,0.0602673982608695,0.0568353808695652,0.0900371547826087,0.114448125217391,0.147683085217391
62.5,0.082,0.0590104368,0.0524244336,0.0851815664,0.1153797664,0.1473913872
67.5,0.082,0.0579028251851852,0.0490523866666667,0.081295842962963,0.115855314074074,0.147735457777778
72.5,0.082,0.0570250344827586,0.0459360813793103,0.077574724137931,0.116797724137931,0.148085386206897
77.5,0.082,0.0561342864516129,0.0427666090322581,0.0741545974193548,0.117758849032258,0.148512344516129
82.5,0.082,0.0553344812121212,0.0399885296969697,0.0710929696969697,0.118596892121212,0.14901300969697
87.5,0.082,0.0547242628571428,0.0375332868571429,0.068307936,0.119669258285714,0.149453691428571
92.5,0.082,0.054254267027027,0.0354615578378378,0.0658234324324324,0.12039183027027,0.149828744864865
97.5,0.082,0.0539423825641026,0.033857841025641,0.0635026184615385,0.121186774358974,0.150204984615385
