n_vec,PFS_EA,PFS_COCBA,PFS_Alg1,PFS_Alg2,PFS_Alg3,PFS_Alg4
2.5,0.4017,0.4017,0.4017,0.4017,0.4017,0.4017
3,0.352999999999999,0.198599999999999,0.328499999999999,0.1497,0.2038,0.171799999999999
3.5,0.313,0.1293,0.2338,0.0773000000000001,0.1098,0.0845999999999993
4,0.2814,0.0790999999999997,0.1824,0.0402999999999991,0.059599999999999,0.0463
4.5,0.253199999999999,0.0509999999999998,0.1298,0.0218999999999994,0.0350999999999996,0.0272999999999997
5,0.226699999999999,0.0361999999999996,0.0956999999999989,0.0119000000000002,0.0177999999999997,0.0171999999999999
5.5,0.1979,0.0234999999999995,0.0773999999999994,0.00639999999999996,0.0128999999999997,0.0101999999999998
6,0.177699999999999,0.0169999999999996,0.0586999999999995,0.00459999999999983,0.00719999999999954,0.00630000000000008
6.5,0.1633,0.0123999999999996,0.0488999999999997,0.002,0.00380000000000014,0.00439999999999974
7,0.143999999999999,0.00770000000000015,0.0367999999999995,0.00220000000000009,0.00249999999999995,0.00219999999999987
7.5,0.126999999999999,0.00539999999999974,0.0273999999999996,0.000699999999999812,0.00130000000000008,0.00149999999999995
8,0.121199999999999,0.00349999999999995,0.0239999999999994,0.000399999999999956,0.00099999999999989,0.00109999999999999
8.5,0.1081,0.00229999999999975,0.0185999999999998,0.000299999999999856,0.000399999999999956,0.000599999999999934
9,0.0942999999999994,0.00159999999999982,0.0155999999999997,9.9999999999878e-05,0.000499999999999834,0.000399999999999734
9.5,0.0836999999999992,0.00119999999999976,0.0118999999999998,9.9999999999878e-05,0.000299999999999856,0.000299999999999856
10,0.0739999999999997,0.00119999999999976,0.0099999999999999,-2.22044604925031e-16,9.9999999999878e-05,9.9999999999878e-05
10.5,0.0714999999999997,0.000599999999999934,0.00739999999999996,9.9999999999878e-05,0.000199999999999867,9.9999999999878e-05
11,0.0660999999999997,0.000299999999999856,0.00550000000000039,-2.22044604925031e-16,0.000199999999999867,9.9999999999878e-05
11.5,0.0566999999999993,0.000199999999999867,0.0047999999999998,9.9999999999878e-05,9.9999999999878e-05,9.9999999999878e-05
12,0.0502999999999993,9.9999999999878e-05,0.00380000000000025,-2.22044604925031e-16,-2.22044604925031e-16,9.9999999999878e-05
12.5,0.0497999999999993,-2.22044604925031e-16,0.00390000000000001,-2.22044604925031e-16,-2.22044604925031e-16,0.000199999999999867
13,0.0451999999999997,-2.22044604925031e-16,0.00279999999999991,-2.22044604925031e-16,-2.22044604925031e-16,9.9999999999878e-05
13.5,0.0428999999999995,-2.22044604925031e-16,0.00180000000000025,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16
14,0.0387000000000001,-2.22044604925031e-16,0.002,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16
14.5,0.0332000000000001,-2.22044604925031e-16,0.00169999999999992,-2.22044604925031e-16,-2.22044604925031e-16,9.9999999999878e-05
15,0.0302999999999993,-2.22044604925031e-16,0.00139999999999996,-2.22044604925031e-16,-2.22044604925031e-16,9.9999999999878e-05
15.5,0.0279999999999998,-2.22044604925031e-16,0.000399999999999956,-2.22044604925031e-16,-2.22044604925031e-16,9.9999999999878e-05
16,0.0249999999999997,-2.22044604925031e-16,0.00139999999999996,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16
16.5,0.0220999999999996,-2.22044604925031e-16,0.000499999999999945,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16
17,0.0205999999999998,-2.22044604925031e-16,0.000499999999999945,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16
17.5,0.0209999999999997,-2.22044604925031e-16,0.000499999999999945,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16
18,0.0196,-2.22044604925031e-16,0.000299999999999856,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16
18.5,0.0162999999999995,-2.22044604925031e-16,0.000599999999999934,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16
19,0.0123999999999995,-2.22044604925031e-16,9.9999999999878e-05,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16
19.5,0.0115999999999993,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16
20,0.0112000000000001,-2.22044604925031e-16,0.000199999999999867,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16
