n_vec,zero_EA,zero_COCBA,zero_Alg1,zero_Alg2,zero_Alg3,zero_Alg4
2.5,0.082,0.082,0.082,0.082,0.082,0.082
3.5,0.082,0.0834070571428571,0.0918721428571429,0.117962914285714,0.0979785142857143,0.101602142857143
4.5,0.082,0.0805539777777778,0.0918206222222223,0.124315,0.102594533333333,0.111194222222222
5.5,0.082,0.0773483272727273,0.0880733454545455,0.123186763636364,0.104078618181818,0.116671090909091
6.5,0.082,0.0741231230769231,0.0835742615384616,0.119444523076923,0.103956292307692,0.119007707692308
7.5,0.082,0.0709032666666667,0.07796132,0.1150738,0.104653386666667,0.121310093333333
8.5,0.082,0.0687617529411765,0.0720919647058823,0.1097664,0.104488894117647,0.122763294117647
9.5,0.082,0.066188747368421,0.0669676105263158,0.104658936842105,0.105164852631579,0.124721642105263
10.5,0.082,0.0638532190476191,0.0622100476190476,0.10008659047619,0.105856923809524,0.126777742857143
11.5,0.082,0.0623269217391304,0.0579350173913043,0.095332452173913,0.106567408695652,0.128582582608696
12.5,0.082,0.060638336,0.054064968,0.09144928,0.107559008,0.130245768
13.5,0.082,0.0594089777777778,0.0502077259259259,0.0879054814814815,0.108630185185185,0.132276637037037
14.5,0.082,0.0582013862068966,0.0465055448275862,0.0842514827586207,0.110049606896552,0.134297979310345
15.5,0.082,0.0573618129032258,0.0438858580645161,0.0810607225806451,0.111187703225806,0.1361816
16.5,0.082,0.0566411333333333,0.0409662424242424,0.0780036303030303,0.112205012121212,0.137876478787879
17.5,0.082,0.0559648228571429,0.0388146,0.0752769371428571,0.11340136,0.139304714285714
18.5,0.082,0.0554579243243243,0.0366844486486486,0.0726699189189189,0.11446312972973,0.14092087027027
19.5,0.082,0.0549699333333333,0.0347163794871795,0.0703231487179487,0.115346338461538,0.142210728205128
20.5,0.082,0.054444,0.0331884292682927,0.0681762731707317,0.116214487804878,0.143365063414634
21.5,0.082,0.0540839488372093,0.0315801209302326,0.0660628418604651,0.116991595348837,0.144415046511628
22.5,0.082,0.0538080755555555,0.0300410177777778,0.0641356488888889,0.117823644444444,0.145314933333333
23.5,0.082,0.0535835787234043,0.0286793276595745,0.0623085234042553,0.118488114893617,0.146237357446809
24.5,0.082,0.0533443755102041,0.0275148734693877,0.0606060489795918,0.119101285714286,0.146927440816327
25.5,0.082,0.0531217058823529,0.0264410235294118,0.0589818,0.119581419607843,0.1476482
26.5,0.082,0.0529174377358491,0.0254471056603774,0.0574564339622641,0.120103245283019,0.148260245283019
27.5,0.082,0.0526917236363636,0.0245454290909091,0.0560203709090909,0.120535112727273,0.148869963636364
28.5,0.082,0.0525312315789474,0.0236500245614035,0.054647849122807,0.120952249122807,0.149382515789474
29.5,0.082,0.0524424610169491,0.0228337050847458,0.0533603898305085,0.121307254237288,0.149869437288136
30.5,0.082,0.0523492655737705,0.0220882852459016,0.0521264360655738,0.121652114754098,0.150376006557377
31.5,0.082,0.0522272444444445,0.0213648095238095,0.0509587809523809,0.121949571428571,0.150821304761905
32.5,0.082,0.0521649753846154,0.0207654184615385,0.0498288461538462,0.122163938461538,0.151189064615385
33.5,0.082,0.0520776776119403,0.0201136955223881,0.0487576865671642,0.12237192238806,0.151423059701493
34.5,0.082,0.0520258753623188,0.0195367333333333,0.0477392608695652,0.122580742028986,0.15171168115942
35.5,0.082,0.0519850816901409,0.0189916816901409,0.0467696281690141,0.122749732394366,0.151956636619718
36.5,0.082,0.0519095506849315,0.0184637068493151,0.0458375479452055,0.122908747945205,0.152214476712329
37.5,0.082,0.05187036,0.017971104,0.044943528,0.123044106666667,0.152420922666667
38.5,0.082,0.0518265142857143,0.0175053012987013,0.0440865350649351,0.123187433766234,0.152610885714286
39.5,0.082,0.051750470886076,0.0170533518987342,0.0432658987341772,0.123335111392405,0.15282424556962
40.5,0.082,0.0517308617283951,0.016632962962963,0.0424817432098765,0.123394538271605,0.152988466666667
41.5,0.082,0.0516562771084337,0.0162352674698795,0.0417296891566265,0.123483277108434,0.153139057831325
42.5,0.082,0.0516183294117647,0.0158543788235294,0.0410069717647059,0.123565734117647,0.153280094117647
43.5,0.082,0.0515879103448276,0.015497,0.0403124965517241,0.123670181609195,0.153378326436782
44.5,0.082,0.0515523393258427,0.0151504494382022,0.0396402247191011,0.123753083146067,0.153444053932584
45.5,0.082,0.0515072659340659,0.0148212857142857,0.0389933824175824,0.123819953846154,0.153533397802198
46.5,0.082,0.0514614516129032,0.014495935483871,0.0383676817204301,0.123846191397849,0.153603668817204
47.5,0.082,0.0514232842105263,0.0141917410526316,0.0377660673684211,0.123894894736842,0.153704370526316
48.5,0.082,0.0513934639175258,0.0138999773195876,0.0371835505154639,0.123926686597938,0.153746480412371
49.5,0.082,0.0513878181818182,0.0136197212121212,0.0366214080808081,0.123930365656566,0.153829191919192
