n_vec,ACC_EA,ACC_COCBA,ACC_Alg1,ACC_Alg2,ACC_Alg3,ACC_Alg4
2.5,0.126502,0.126502,0.126502,0.126502,0.126502,0.126502
7.5,0.09055,0.049094,0.043314,0.030102,0.035558,0.03952
12.5,0.071292,0.029248,0.028132,0.012916,0.016046,0.020204
17.5,0.057868,0.01913,0.023066,0.007004,0.008354,0.011612
22.5,0.04849,0.013298,0.020718,0.004522,0.004688,0.007364
27.5,0.041174,0.009598,0.01959,0.003188,0.0027,0.004912
32.5,0.035464,0.00713,0.019062,0.002384,0.001692,0.003362
37.5,0.030552,0.005362,0.018732,0.001854,0.001014,0.00237
42.5,0.026458,0.004086,0.018498,0.001488,0.000678,0.001704
47.5,0.022932,0.003122,0.018296,0.00126,0.00045,0.00124
52.5,0.019918,0.002374,0.018166,0.001032,0.00028,0.000882
57.5,0.017492,0.001894,0.01808,0.000876,0.000196,0.000686
62.5,0.015416,0.001472,0.017994,0.000782,0.000134,0.00053
67.5,0.013612,0.00119,0.017918,0.000696,8.8e-05,0.000402
72.5,0.012208,0.000958,0.017862,0.000604,6e-05,0.000324
77.5,0.010802,0.000780000000000001,0.017832,0.000534,4.6e-05,0.000262
