n_vec,PFS_EA,PFS_COCBA,PFS_Alg1,PFS_Alg2,PFS_Alg3,PFS_Alg4
2.5,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675
7.5,0.6336,0.337999999999999,0.3566,0.269599999999999,0.3009,0.291999999999999
12.5,0.5312,0.134499999999999,0.1177,0.0634999999999996,0.0772999999999991,0.0818999999999991
17.5,0.4509,0.0433999999999998,0.0313999999999998,0.0114999999999997,0.0183,0.0197999999999994
22.5,0.371699999999999,0.0148999999999994,0.00859999999999994,0.00190000000000001,0.00359999999999971,0.00480000000000014
27.5,0.3069,0.0047999999999998,0.00249999999999984,0.000499999999999834,0.000899999999999901,0.000499999999999945
32.5,0.244,0.00149999999999961,0.000900000000000012,-2.22044604925031e-16,0.000399999999999956,0.000199999999999978
37.5,0.202199999999999,0.000599999999999934,0.000299999999999967,-2.22044604925031e-16,9.9999999999878e-05,-2.22044604925031e-16
42.5,0.158099999999999,0.000199999999999978,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16
47.5,0.126299999999999,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16
