n_vec,PFS_EA,PFS_COCBA,PFS_Alg1,PFS_Alg2,PFS_Alg3,PFS_Alg4
2.5,0.6903,0.6903,0.6903,0.6903,0.6903,0.6903
7.5,0.5694,0.3966,0.367,0.281799999999999,0.3295,0.3069
12.5,0.511199999999999,0.271099999999999,0.1868,0.127299999999999,0.1668,0.1543
17.5,0.4634,0.1764,0.0902999999999993,0.0582000000000003,0.0838999999999998,0.0789999999999997
22.5,0.4213,0.113799999999999,0.0443999999999997,0.0275999999999985,0.0417999999999989,0.038599999999999
27.5,0.389099999999999,0.0664,0.0199999999999978,0.0125999999999983,0.0206999999999984,0.0179999999999984
32.5,0.348799999999999,0.0405999999999986,0.0101999999999984,0.00579999999999858,0.0104999999999985,0.00799999999999867
37.5,0.323299999999999,0.0231999999999982,0.00429999999999875,0.00309999999999888,0.00499999999999889,0.00439999999999896
42.5,0.2961,0.0129999999999983,0.001999999999999,0.00149999999999906,0.00229999999999897,0.001999999999999
47.5,0.2733,0.00749999999999873,0.000999999999999113,0.000999999999999113,0.0010999999999991,0.000699999999999146
52.5,0.245799999999999,0.00399999999999878,0.00029999999999919,0.00029999999999919,0.000599999999999157,0.00029999999999919
57.5,0.2228,0.00279999999999891,0.000199999999999201,0.00029999999999919,0.000499999999999168,-6.66133814775094e-16
62.5,0.2089,0.00179999999999902,-6.66133814775094e-16,9.99999999992118e-05,-6.66133814775094e-16,-6.66133814775094e-16
67.5,0.183399999999999,0.00119999999999909,-6.66133814775094e-16,9.99999999992118e-05,-6.66133814775094e-16,-6.66133814775094e-16
72.5,0.1687,0.000899999999999124,-6.66133814775094e-16,9.99999999992118e-05,-6.66133814775094e-16,-6.66133814775094e-16
77.5,0.1504,0.000399999999999179,-6.66133814775094e-16,-6.66133814775094e-16,-6.66133814775094e-16,-6.66133814775094e-16
